,2022.3.9,,,
5.85,149.041,149.035,149.044,149.036
5.90,149.041,149.034,149.044,149.035
5.95,149.040,149.033,149.045,149.036
6.00,149.041,149.034,149.045,149.036
6.05,149.041,149.034,149.046,149.036
6.10,149.040,149.034,149.046,149.037
6.15,149.040,149.034,149.046,149.037
6.20,149.040,149.034,149.046,149.037
6.25,149.041,149.033,149.046,149.037
6.30,149.041,149.034,149.046,149.037
6.35,149.041,149.034,149.045,149.036
6.40,149.042,149.034,149.044,149.036
6.45,149.041,149.034,149.045,149.037
6.50,149.041,149.034,149.044,149.036
6.55,149.040,149.035,149.045,149.036
6.60,149.040,149.035,149.046,149.036
6.65,149.040,149.035,149.047,149.036
6.70,149.040,149.036,149.048,149.036
6.75,149.040,149.037,149.048,149.036
6.80,149.040,149.037,149.048,149.036
6.85,149.040,149.036,149.047,149.036
6.90,149.040,149.036,149.045,149.035
6.95,149.040,149.035,149.044,149.035
7.00,149.039,149.035,149.043,149.034
7.05,149.038,149.034,149.043,149.033
7.10,149.037,149.033,149.043,149.032
7.15,149.037,149.033,149.044,149.030
7.20,149.036,149.033,149.043,149.030
7.25,149.035,149.032,149.043,149.028
7.30,149.035,149.032,149.043,149.028
7.35,149.034,149.032,149.043,149.027
7.40,149.035,149.032,149.042,149.028
7.45,149.035,149.033,149.043,149.027
7.50,149.035,149.033,149.044,149.026
7.55,149.036,149.034,149.045,149.026
7.60,149.036,149.034,149.046,149.026
7.65,149.036,149.035,149.047,149.026
7.70,149.036,149.034,149.046,149.027
7.75,149.036,149.034,149.046,149.027
7.80,149.036,149.035,149.046,149.028
7.85,149.036,149.035,149.046,149.028
7.90,149.037,149.034,149.046,149.027
7.95,149.037,149.034,149.045,149.028
8.00,149.038,149.034,149.046,149.028
8.05,149.039,149.034,149.046,149.029
8.10,149.040,149.035,149.046,149.031
8.15,149.041,149.035,149.046,149.033
8.20,149.043,149.036,149.046,149.035
8.25,149.043,149.035,149.045,149.036
8.30,149.043,149.035,149.045,149.036
8.35,149.042,149.036,149.045,149.035
8.40,149.041,149.036,149.045,149.033
8.45,149.041,149.035,149.046,149.031
8.50,149.041,149.035,149.046,149.030
8.55,149.040,149.034,149.046,149.029
8.60,149.040,149.035,149.046,149.028
8.65,149.040,149.035,149.047,149.028
8.70,149.041,149.035,149.047,149.030
8.75,149.040,149.036,149.048,149.030
8.80,149.040,149.036,149.048,149.030
8.85,149.040,149.036,149.047,149.030
8.90,149.041,149.036,149.045,149.032
8.95,149.041,149.036,149.043,149.032
9.00,149.041,149.035,149.040,149.030
9.05,149.041,149.036,149.037,149.030
9.10,149.041,149.036,149.035,149.029
9.15,149.041,149.035,149.034,149.029
9.20,149.041,149.036,149.035,149.029
9.25,149.041,149.035,149.037,149.028
9.30,149.040,149.034,149.039,149.028
9.35,149.039,149.034,149.042,149.027
9.40,149.039,149.032,149.044,149.027
9.45,149.038,149.031,149.045,149.025
9.50,149.039,149.031,149.045,149.025
9.55,149.040,149.030,149.044,149.025
9.60,149.041,149.031,149.042,149.026
9.65,149.042,149.031,149.041,149.026
9.70,149.042,149.030,149.040,149.026
9.75,149.043,149.031,149.039,149.026
9.80,149.043,149.030,149.038,149.026
9.85,149.043,149.030,149.038,149.026
9.90,149.042,149.030,149.039,149.025
9.95,149.042,149.030,149.038,149.026
10.00,149.042,149.031,149.039,149.026
10.05,149.042,149.031,149.039,149.027
10.10,149.042,149.030,149.039,149.027
10.15,149.042,149.029,149.040,149.028
10.20,149.042,149.030,149.040,149.027
10.25,149.041,149.029,149.040,149.027
10.30,149.041,149.028,149.040,149.027
10.35,149.040,149.028,149.040,149.026
10.40,149.040,149.028,149.041,149.025
10.45,149.040,149.028,149.040,149.025
10.50,149.040,149.027,149.040,149.025
10.55,149.041,149.028,149.039,149.025
10.60,149.041,149.027,149.038,149.024
10.65,149.041,149.027,149.037,149.023
10.70,149.040,149.027,149.037,149.024
10.75,149.040,149.026,149.036,149.024
10.80,149.039,149.025,149.037,149.024
10.85,149.039,149.024,149.037,149.023
10.90,149.039,149.024,149.037,149.024
10.95,149.038,149.023,149.038,149.024
11.00,149.037,149.022,149.038,149.023
11.05,149.036,149.022,149.037,149.022
11.10,149.036,149.022,149.037,149.021
11.15,149.036,149.021,149.036,149.021
11.20,149.035,149.021,149.037,149.020
11.25,149.034,149.021,149.037,149.020
11.30,149.034,149.021,149.038,149.019
11.35,149.034,149.020,149.038,149.020
11.40,149.034,149.021,149.039,149.020
11.45,149.033,149.021,149.039,149.020
11.50,149.033,149.020,149.040,149.021
11.55,149.033,149.020,149.040,149.021
11.60,149.033,149.019,149.040,149.022
11.65,149.033,149.020,149.039,149.021
11.70,149.033,149.019,149.039,149.021
11.75,149.033,149.019,149.038,149.021
11.80,149.034,149.018,149.038,149.022
11.85,149.033,149.017,149.037,149.021
11.90,149.033,149.018,149.037,149.021
11.95,149.033,149.017,149.037,149.021
12.00,149.032,149.017,149.038,149.019
12.05,149.031,149.017,149.038,149.019
12.10,149.031,149.018,149.038,149.020
12.15,149.030,149.017,149.039,149.019
12.20,149.030,149.016,149.039,149.019
12.25,149.030,149.016,149.039,149.018
12.30,149.030,149.015,149.038,149.018
12.35,149.030,149.014,149.038,149.017
12.40,149.029,149.013,149.037,149.018
12.45,149.029,149.014,149.038,149.017
12.50,149.029,149.014,149.037,149.018
12.55,149.029,149.014,149.037,149.018
12.60,149.029,149.013,149.037,149.019
12.65,149.030,149.015,149.036,149.019
12.70,149.031,149.014,149.036,149.020
12.75,149.032,149.013,149.035,149.020
12.80,149.033,149.013,149.035,149.019
12.85,149.033,149.013,149.035,149.019
12.90,149.031,149.013,149.035,149.019
12.95,149.032,149.013,149.035,149.019
13.00,149.031,149.013,149.035,149.019
13.05,149.029,149.013,149.034,149.019
13.10,149.029,149.014,149.034,149.019
13.15,149.027,149.013,149.034,149.019
13.20,149.028,149.014,149.033,149.019
13.25,149.027,149.014,149.032,149.020
13.30,149.027,149.014,149.031,149.019
13.35,149.026,149.014,149.031,149.019
13.40,149.025,149.014,149.031,149.020
13.45,149.026,149.013,149.030,149.019
13.50,149.025,149.013,149.031,149.019
13.55,149.024,149.014,149.030,149.018
13.60,149.024,149.014,149.029,149.018
13.65,149.024,149.013,149.029,149.018
13.70,149.025,149.013,149.029,149.018
13.75,149.025,149.014,149.030,149.018
13.80,149.025,149.014,149.031,149.017
13.85,149.025,149.014,149.033,149.019
13.90,149.025,149.014,149.034,149.019
13.95,149.025,149.015,149.034,149.018
14.00,149.025,149.015,149.034,149.019
14.05,149.025,149.016,149.033,149.018
14.10,149.025,149.016,149.032,149.018
14.15,149.025,149.018,149.030,149.017
14.20,149.025,149.018,149.030,149.017
14.25,149.025,149.018,149.031,149.017
14.30,149.025,149.019,149.030,149.017
14.35,149.026,149.019,149.030,149.017
14.40,149.026,149.018,149.031,149.017
14.45,149.027,149.018,149.031,149.017
14.50,149.027,149.017,149.031,149.016
14.55,149.027,149.017,149.031,149.016
14.60,149.027,149.016,149.032,149.015
14.65,149.027,149.015,149.032,149.015
14.70,149.027,149.016,149.032,149.015
14.75,149.027,149.016,149.033,149.015
14.80,149.027,149.014,149.034,149.016
14.85,149.028,149.017,149.034,149.016
14.90,149.028,149.017,149.033,149.017
14.95,149.028,149.017,149.033,149.017
15.00,149.028,149.017,149.032,149.016
15.05,149.029,149.019,149.032,149.018
15.10,149.029,149.019,149.030,149.018
15.15,149.029,149.017,149.031,149.017
15.20,149.028,149.018,149.030,149.016
15.25,149.029,149.018,149.031,149.014
15.30,149.029,149.017,149.031,149.013
15.35,149.029,149.017,149.032,149.011
15.40,149.028,149.016,149.032,149.008
15.45,149.028,149.017,149.032,149.008
15.50,149.028,149.017,149.032,149.008
15.55,149.028,149.017,149.032,149.010
15.60,149.028,149.017,149.032,149.011
15.65,149.029,149.018,149.031,149.012
15.70,149.028,149.018,149.030,149.013
15.75,149.029,149.018,149.030,149.014
15.80,149.028,149.017,149.030,149.014
15.85,149.028,149.017,149.030,149.014
15.90,149.028,149.017,149.031,149.014
15.95,149.027,149.017,149.031,149.014
16.00,149.026,149.016,149.031,149.014
16.05,149.026,149.015,149.030,149.015
16.10,149.025,149.016,149.030,149.015
16.15,149.025,149.017,149.030,149.014
16.20,149.025,149.016,149.030,149.015
16.25,149.025,149.016,149.029,149.014
16.30,149.024,149.016,149.029,149.015
16.35,149.024,149.015,149.030,149.014
16.40,149.024,149.014,149.031,149.014
16.45,149.024,149.014,149.031,149.014
16.50,149.023,149.013,149.032,149.014
16.55,149.022,149.012,149.032,149.014
16.60,149.022,149.011,149.033,149.014
16.65,149.022,149.010,149.033,149.013
16.70,149.021,149.011,149.032,149.014
16.75,149.021,149.012,149.031,149.013
16.80,149.020,149.013,149.029,149.013
16.85,149.019,149.013,149.028,149.012
16.90,149.019,149.013,149.026,149.012
16.95,149.019,149.013,149.025,149.012
17.00,149.019,149.013,149.023,149.011
17.05,149.018,149.013,149.022,149.011
17.10,149.018,149.012,149.023,149.012
17.15,149.018,149.012,149.022,149.012
17.20,149.017,149.013,149.022,149.011
17.25,149.017,149.013,149.022,149.012
17.30,149.017,149.012,149.023,149.011
17.35,149.017,149.013,149.022,149.011
17.40,149.018,149.012,149.021,149.011
17.45,149.018,149.012,149.021,149.010
17.50,149.019,149.012,149.021,149.011
17.55,149.019,149.012,149.021,149.010
17.60,149.019,149.013,149.020,149.010
17.65,149.019,149.014,149.020,149.010
17.70,149.019,149.014,149.020,149.009
17.75,149.018,149.014,149.019,149.011
17.80,149.019,149.014,149.019,149.011
17.85,149.019,149.014,149.019,149.011
17.90,149.019,149.013,149.019,149.011
17.95,149.020,149.013,149.021,149.013
18.00,149.020,149.013,149.022,149.011
18.05,149.021,149.012,149.023,149.011
18.10,149.021,149.012,149.024,149.009
18.15,149.022,149.012,149.025,149.009
18.20,149.022,149.013,149.026,149.008
18.25,149.022,149.014,149.026,149.008
18.30,149.023,149.014,149.026,149.009
18.35,149.023,149.015,149.026,149.009
18.40,149.023,149.014,149.027,149.010
18.45,149.023,149.015,149.026,149.011
18.50,149.023,149.014,149.025,149.011
18.55,149.023,149.015,149.025,149.009
18.60,149.024,149.014,149.026,149.009
18.65,149.023,149.014,149.025,149.008
18.70,149.023,149.014,149.026,149.008
18.75,149.023,149.014,149.027,149.009
18.80,149.023,149.015,149.027,149.009
18.85,149.023,149.015,149.028,149.010
18.90,149.023,149.015,149.028,149.011
18.95,149.023,149.015,149.029,149.013
19.00,149.023,149.015,149.029,149.013
19.05,149.023,149.017,149.030,149.015
19.10,149.022,149.016,149.029,149.014
19.15,149.022,149.016,149.030,149.014
19.20,149.023,149.016,149.029,149.013
19.25,149.023,149.016,149.029,149.013
19.30,149.024,149.015,149.030,149.014
19.35,149.024,149.015,149.029,149.013
19.40,149.024,149.015,149.029,149.012
19.45,149.024,149.015,149.029,149.011
19.50,149.023,149.014,149.028,149.012
19.55,149.023,149.015,149.028,149.013
19.60,149.022,149.015,149.028,149.012
19.65,149.022,149.015,149.028,149.012
19.70,149.022,149.015,149.027,149.012
19.75,149.023,149.015,149.028,149.012
19.80,149.024,149.015,149.028,149.012
19.85,149.024,149.015,149.028,149.012
19.90,149.024,149.015,149.029,149.012
19.95,149.024,149.015,149.029,149.012
20.00,149.024,149.015,149.029,149.012
20.05,149.024,149.015,149.029,149.012
20.10,149.024,149.014,149.029,149.012
20.15,149.024,149.014,149.029,149.012
20.20,149.025,149.014,149.029,149.012
20.25,149.026,149.015,149.029,149.012
20.30,149.025,149.014,149.029,149.012
20.35,149.026,149.016,149.028,149.012
20.40,149.026,149.016,149.028,149.012
20.45,149.026,149.015,149.028,149.012
20.50,149.025,149.016,149.028,149.012
20.55,149.026,149.015,149.028,149.012
20.60,149.026,149.015,149.028,149.012
20.65,149.026,149.015,149.028,149.012
20.70,149.026,149.015,149.028,149.012
20.75,149.026,149.015,149.028,149.012
20.80,149.026,149.015,149.028,149.013
20.85,149.026,149.016,149.027,149.011
20.90,149.026,149.016,149.027,149.010
20.95,149.025,149.017,149.026,149.009
21.00,149.026,149.017,149.026,149.008
21.05,149.026,149.018,149.026,149.007
21.10,149.026,149.017,149.026,149.006
21.15,149.026,149.016,149.025,149.007
21.20,149.026,149.015,149.025,149.008
21.25,149.026,149.015,149.026,149.009
21.30,149.026,149.014,149.025,149.010
21.35,149.025,149.012,149.025,149.011
21.40,149.025,149.013,149.024,149.011
21.45,149.024,149.013,149.023,149.012
21.50,149.024,149.013,149.023,149.012
21.55,149.024,149.013,149.023,149.010
21.60,149.024,149.013,149.024,149.011
21.65,149.024,149.014,149.025,149.009
21.70,149.024,149.014,149.025,149.011
21.75,149.024,149.014,149.025,149.011
21.80,149.024,149.013,149.026,149.011
21.85,149.024,149.013,149.025,149.011
21.90,149.024,149.014,149.024,149.011
21.95,149.024,149.013,149.024,149.011
22.00,149.024,149.014,149.024,149.011
22.05,149.024,149.014,149.022,149.011
22.10,149.024,149.014,149.021,149.010
22.15,149.024,149.014,149.020,149.010
22.20,149.023,149.013,149.021,149.009
22.25,149.023,149.012,149.020,149.009
22.30,149.023,149.012,149.020,149.009
22.35,149.022,149.012,149.021,149.009
22.40,149.022,149.013,149.023,149.009
22.45,149.022,149.013,149.025,149.010
22.50,149.023,149.014,149.026,149.009
22.55,149.022,149.015,149.027,149.009
22.60,149.023,149.015,149.027,149.009
22.65,149.023,149.016,149.028,149.009
22.70,149.024,149.017,149.029,149.009
22.75,149.024,149.016,149.027,149.009
22.80,149.025,149.016,149.027,149.010
22.85,149.025,149.015,149.027,149.011
22.90,149.025,149.016,149.027,149.011
22.95,149.026,149.016,149.027,149.011
23.00,149.025,149.017,149.026,149.010
23.05,149.025,149.017,149.026,149.011
23.10,149.025,149.021,149.026,149.010
23.15,149.024,149.022,149.026,149.010
23.20,149.024,149.023,149.026,149.010
23.25,149.024,149.023,149.027,149.011
23.30,149.024,149.024,149.026,149.011
23.35,149.025,149.023,149.027,149.010
23.40,149.025,149.024,149.027,149.011
23.45,149.024,149.023,149.027,149.011
23.50,149.024,149.023,149.027,149.012
23.55,149.024,149.023,149.027,149.011
23.60,149.025,149.024,149.027,149.011
23.65,149.024,149.024,149.028,149.011
23.70,149.024,149.023,149.029,149.010
23.75,149.024,149.023,149.030,149.008
23.80,149.025,149.023,149.031,149.008
23.85,149.025,149.023,149.031,149.008
23.90,149.024,149.022,149.032,149.008
23.95,149.025,149.021,149.032,149.009
24.00,149.024,149.022,149.031,149.008
24.05,149.024,149.023,149.032,149.009
24.10,149.024,149.024,149.033,149.010
24.15,149.025,149.024,149.033,149.010
24.20,149.025,149.024,149.032,149.010
24.25,149.026,149.024,149.033,149.010
24.30,149.026,149.023,149.032,149.010
24.35,149.027,149.023,149.033,149.010
24.40,149.026,149.023,149.033,149.010
24.45,149.027,149.022,149.032,149.011
24.50,149.027,149.022,149.032,149.011
24.55,149.027,149.023,149.032,149.012
24.60,149.027,149.022,149.031,149.011
24.65,149.027,149.023,149.031,149.012
24.70,149.027,149.023,149.030,149.012
24.75,149.027,149.023,149.031,149.012
24.80,149.027,149.023,149.032,149.011
24.85,149.026,149.023,149.032,149.012
24.90,149.026,149.023,149.033,149.012
24.95,149.026,149.022,149.033,149.012
25.00,149.027,149.022,149.033,149.012
25.05,149.027,149.023,149.033,149.013
25.10,149.027,149.023,149.033,149.013
25.15,149.027,149.023,149.033,149.012
25.20,149.027,149.023,149.033,149.013
25.25,149.027,149.023,149.032,149.012
25.30,149.027,149.024,149.033,149.012
25.35,149.027,149.024,149.032,149.012
25.40,149.027,149.023,149.031,149.012
25.45,149.026,149.023,149.032,149.012
25.50,149.025,149.023,149.031,149.012
25.55,149.024,149.022,149.031,149.012
25.60,149.024,149.023,149.031,149.012
25.65,149.023,149.022,149.030,149.012
25.70,149.022,149.022,149.030,149.013
25.75,149.023,149.023,149.029,149.011
25.80,149.023,149.022,149.030,149.012
25.85,149.023,149.023,149.029,149.012
25.90,149.024,149.022,149.028,149.012
25.95,149.024,149.023,149.028,149.009
26.00,149.025,149.021,149.028,149.009
26.05,149.025,149.022,149.026,149.010
26.10,149.024,149.022,149.026,149.010
26.15,149.025,149.022,149.025,149.008
26.20,149.025,149.022,149.024,149.008
26.25,149.024,149.022,149.024,149.009
26.30,149.025,149.022,149.023,149.009
26.35,149.025,149.023,149.023,149.009
26.40,149.026,149.023,149.023,149.009
26.45,149.026,149.023,149.022,149.009
26.50,149.027,149.023,149.023,149.009
26.55,149.027,149.024,149.023,149.009
26.60,149.026,149.022,149.023,149.008
26.65,149.026,149.021,149.024,149.009
26.70,149.027,149.022,149.024,149.008
26.75,149.027,149.020,149.024,149.008
26.80,149.028,149.020,149.024,149.007
26.85,149.028,149.019,149.024,149.008
26.90,149.028,149.020,149.023,149.009
26.95,149.028,149.019,149.023,149.009
27.00,149.028,149.020,149.023,149.009
27.05,149.027,149.020,149.024,149.010
27.10,149.027,149.019,149.025,149.012
27.15,149.027,149.020,149.026,149.012
27.20,149.028,149.020,149.027,149.012
27.25,149.027,149.020,149.027,149.013
27.30,149.028,149.021,149.027,149.012
27.35,149.028,149.022,149.027,149.012
27.40,149.028,149.022,149.025,149.012
27.45,149.028,149.023,149.025,149.011
27.50,149.028,149.021,149.025,149.009
27.55,149.028,149.021,149.026,149.009
27.60,149.028,149.022,149.027,149.011
27.65,149.028,149.022,149.029,149.010
27.70,149.028,149.022,149.030,149.010
27.75,149.028,149.021,149.031,149.011
27.80,149.028,149.021,149.031,149.012
27.85,149.028,149.020,149.029,149.012
27.90,149.028,149.020,149.029,149.011
27.95,149.028,149.020,149.028,149.012
28.00,149.029,149.020,149.028,149.013
28.05,149.029,149.020,149.028,149.013
28.10,149.028,149.020,149.028,149.014
28.15,149.029,149.021,149.029,149.014
28.20,149.028,149.020,149.029,149.014
28.25,149.028,149.020,149.029,149.015
28.30,149.028,149.019,149.030,149.014
28.35,149.028,149.020,149.031,149.015
28.40,149.029,149.019,149.032,149.014
28.45,149.030,149.020,149.033,149.014
28.50,149.030,149.020,149.032,149.015
28.55,149.030,149.021,149.034,149.015
28.60,149.031,149.021,149.034,149.014
28.65,149.031,149.020,149.033,149.013
28.70,149.031,149.019,149.033,149.014
28.75,149.031,149.018,149.034,149.014
28.80,149.031,149.018,149.033,149.014
28.85,149.032,149.017,149.033,149.014
28.90,149.031,149.016,149.032,149.013
28.95,149.031,149.016,149.032,149.014
29.00,149.030,149.016,149.032,149.013
29.05,149.030,149.016,149.032,149.014
29.10,149.030,149.017,149.032,149.015
29.15,149.029,149.018,149.031,149.014
29.20,149.029,149.018,149.031,149.014
29.25,149.029,149.019,149.031,149.015
29.30,149.029,149.018,149.031,149.015
29.35,149.030,149.018,149.030,149.015
29.40,149.030,149.018,149.030,149.015
29.45,149.030,149.018,149.030,149.016
29.50,149.030,149.018,149.032,149.015
29.55,149.031,149.018,149.031,149.016
29.60,149.031,149.017,149.031,149.016
29.65,149.031,149.017,149.031,149.016
29.70,149.031,149.017,149.029,149.015
29.75,149.030,149.017,149.028,149.015
29.80,149.031,149.017,149.028,149.015
29.85,149.031,149.017,149.026,149.015
29.90,149.032,149.018,149.027,149.014
29.95,149.032,149.018,149.026,149.014
30.00,149.031,149.018,149.026,149.013
30.05,149.031,149.017,149.025,149.013
30.10,149.031,149.018,149.025,149.012
30.15,149.030,149.018,149.023,149.012
30.20,149.030,149.018,149.024,149.013
30.25,149.030,149.017,149.026,149.013
30.30,149.030,149.017,149.026,149.012
30.35,149.029,149.018,149.028,149.013
30.40,149.029,149.018,149.028,149.012
30.45,149.028,149.018,149.029,149.011
30.50,149.029,149.019,149.028,149.011
30.55,149.028,149.019,149.028,149.012
30.60,149.029,149.018,149.027,149.012
30.65,149.029,149.018,149.027,149.012
30.70,149.029,149.016,149.027,149.012
30.75,149.028,149.015,149.027,149.012
30.80,149.028,149.014,149.027,149.012
30.85,149.029,149.014,149.028,149.012
30.90,149.029,149.015,149.029,149.012
30.95,149.028,149.015,149.029,149.012
31.00,149.028,149.014,149.029,149.011
31.05,149.028,149.015,149.028,149.012
31.10,149.028,149.014,149.028,149.012
31.15,149.027,149.014,149.027,149.010
31.20,149.027,149.013,149.026,149.012
31.25,149.027,149.013,149.025,149.011
31.30,149.027,149.014,149.024,149.011
31.35,149.026,149.013,149.024,149.011
31.40,149.026,149.013,149.024,149.011
31.45,149.026,149.012,149.024,149.012
31.50,149.026,149.012,149.023,149.011
31.55,149.026,149.011,149.023,149.011
31.60,149.027,149.011,149.022,149.011
31.65,149.027,149.010,149.021,149.012
31.70,149.027,149.011,149.020,149.012
31.75,149.026,149.012,149.019,149.012
31.80,149.026,149.011,149.020,149.012
31.85,149.026,149.012,149.020,149.013
31.90,149.025,149.012,149.021,149.013
31.95,149.025,149.013,149.022,149.012
32.00,149.025,149.013,149.023,149.012
32.05,149.025,149.013,149.025,149.013
32.10,149.026,149.013,149.025,149.013
32.15,149.026,149.014,149.027,149.013
32.20,149.026,149.013,149.028,149.013
32.25,149.026,149.014,149.028,149.013
32.30,149.026,149.014,149.027,149.014
32.35,149.027,149.014,149.026,149.013
32.40,149.026,149.014,149.026,149.013
32.45,149.027,149.014,149.025,149.013
32.50,149.027,149.015,149.024,149.013
32.55,149.028,149.016,149.025,149.013
32.60,149.027,149.016,149.025,149.013
32.65,149.027,149.016,149.027,149.013
32.70,149.027,149.016,149.027,149.013
32.75,149.027,149.016,149.027,149.013
32.80,149.027,149.016,149.028,149.013
32.85,149.027,149.016,149.029,149.013
32.90,149.028,149.017,149.028,149.014
32.95,149.028,149.017,149.029,149.014
33.00,149.027,149.017,149.029,149.014
33.05,149.027,149.017,149.029,149.014
33.10,149.027,149.017,149.029,149.013
33.15,149.027,149.017,149.029,149.013
33.20,149.026,149.016,149.029,149.013
33.25,149.026,149.017,149.030,149.013
33.30,149.027,149.017,149.029,149.012
33.35,149.027,149.017,149.029,149.012
33.40,149.027,149.017,149.029,149.012
33.45,149.026,149.018,149.030,149.012
33.50,149.027,149.019,149.030,149.011
33.55,149.027,149.018,149.029,149.012
33.60,149.028,149.019,149.029,149.012
33.65,149.029,149.019,149.029,149.012
33.70,149.029,149.019,149.028,149.011
33.75,149.030,149.020,149.027,149.012
33.80,149.031,149.018,149.026,149.011
33.85,149.031,149.019,149.026,149.011
33.90,149.030,149.019,149.025,149.011
33.95,149.030,149.019,149.025,149.011
34.00,149.030,149.019,149.025,149.009
34.05,149.029,149.018,149.025,149.009
34.10,149.029,149.018,149.026,149.009
34.15,149.027,149.019,149.026,149.010
34.20,149.028,149.019,149.025,149.009
34.25,149.027,149.020,149.025,149.009
34.30,149.026,149.020,149.024,149.011
34.35,149.025,149.020,149.024,149.010
34.40,149.025,149.020,149.022,149.010
34.45,149.026,149.021,149.022,149.009
34.50,149.027,149.021,149.021,149.009
34.55,149.028,149.021,149.021,149.010
34.60,149.029,149.021,149.021,149.011
34.65,149.029,149.022,149.020,149.011
34.70,149.029,149.022,149.018,149.012
34.75,149.029,149.022,149.018,149.013
34.80,149.028,149.022,149.017,149.013
34.85,149.027,149.022,149.015,149.013
